form	lemma	xpostag	freq	corpus_size	lemma_freq	lfpm10	llfpm10	form_length	form_syl_count	lemma_length	lemma_syl_count	hunspell	lemma_transcription	form_transcription	coda	coda1	coda2	linking_vowel	linking_vowel_present	compound
pénzt	pénz	[/N][Acc]	827852	8570080167	2605825	2.9849678178722816	3.482960361881654	5	1	4	1	TRUE	pénz	pénzt	nz	n	z	NA	FALSE	FALSE
verset	vers	[/N][Acc]	87593	8570080167	786598	2.009484516426522	2.962767953382274	6	2	4	1	TRUE	verš	veršet	rš	r	š	e	TRUE	FALSE
borsot	bors	[/N][Acc]	35568	8570080167	318878	1.6180745608969576	2.570639673015841	6	2	4	1	TRUE	borš	boršot	rš	r	š	o	TRUE	FALSE
készpénzt	készpénz	[/N][Acc]	30357	8570080167	199856	1.5492739661705686	2.367732306555861	9	2	8	2	TRUE	késpénz	késpénzt	nz	n	z	NA	FALSE	TRUE
rajzot	rajz	[/N][Acc]	30319	8570080167	352496	1.5487299885692114	2.6141693086771647	6	2	4	1	TRUE	rajz	rajzot	jz	j	z	o	TRUE	TRUE
sorsot	sors	[/N][Acc]	23446	8570080167	863203	1.437083876192094	3.003128056578785	6	2	4	1	TRUE	šorš	šoršot	rš	r	š	o	TRUE	FALSE
önéletrajzot	önéletrajz	[/N][Acc]	13533	8570080167	134119	1.198409197359415	2.194505422182951	12	5	10	4	TRUE	önéletrajz	önéletrajzot	jz	j	z	o	TRUE	TRUE
törzset	törzs	[/N][Acc]	13011	8570080167	274003	1.1813257924104663	2.504770433385471	7	2	5	1	TRUE	törž	töržet	rž	r	ž	e	TRUE	FALSE
kontinenst	kontinens	[/N][Acc]	11784	8570080167	198435	1.1383078493766168	2.3646333910531023	10	3	9	3	TRUE	kontinenš	kontinenšt	nš	n	š	NA	FALSE	FALSE
pácienst	páciens	[/N][Acc]	11379	8570080167	248198	1.1231192129644951	2.4618133931380193	8	3	7	3	TRUE	pácienš	pácienšt	nš	n	š	NA	FALSE	FALSE
közpénzt	közpénz	[/N][Acc]	11224	8570080167	92334	1.1171627735623455	2.0323767655757385	8	2	7	2	FALSE	közpénz	közpénzt	nz	n	z	NA	FALSE	TRUE
incidenst	incidens	[/N][Acc]	10852	8570080167	119048	1.1025249006316007	2.142737219220279	9	3	8	3	TRUE	incidenš	incidenšt	nš	n	š	NA	FALSE	FALSE
komponenst	komponens	[/N][Acc]	9290	8570080167	168785	1.035030829535684	2.294348963597735	10	3	9	3	TRUE	komponenš	komponenšt	nš	n	š	NA	FALSE	FALSE
klienst	kliens	[/N][Acc]	7666	8570080167	155897	0.9515839304603756	2.259852873476351	7	2	6	2	TRUE	klienš	klienšt	nš	n	š	NA	FALSE	FALSE
pajzsot	pajzs	[/N][Acc]	7629	8570080167	64579	0.9494827304374136	1.8771064312643064	7	2	5	1	TRUE	pajž	pajžot	jž	j	ž	o	TRUE	FALSE
bronzot	bronz	[/N][Acc]	7413	8570080167	89560	0.937009115663784	2.0191292004490347	7	2	5	1	TRUE	bronz	bronzot	nz	n	z	o	TRUE	FALSE
szegmenst	szegmens	[/N][Acc]	6828	8570080167	164707	0.9013086279847382	2.2837271724942587	9	2	8	2	TRUE	segmenš	segmenšt	nš	n	š	NA	FALSE	FALSE
táppénzt	táppénz	[/N][Acc]	6226	8570080167	63836	0.8612242318885386	1.872080781598488	8	2	7	2	FALSE	táppénz	táppénzt	nz	n	z	NA	FALSE	TRUE
hálapénzt	hálapénz	[/N][Acc]	5520	8570080167	20355	0.8089541932712411	1.3756862222574604	9	3	8	3	FALSE	hálapénz	hálapénzt	nz	n	z	NA	FALSE	TRUE
antioxidánst	antioxidáns	[/N][Acc]	5095	8570080167	164141	0.7741593038844874	2.282232190499618	12	5	11	5	TRUE	antioxidánš	antioxidánšt	nš	n	š	NA	FALSE	FALSE
zsebpénzt	zsebpénz	[/N][Acc]	5060	8570080167	19232	0.7711656323818413	1.3510395658646877	9	2	8	2	TRUE	žebpénz	žebpénzt	nz	n	z	NA	FALSE	TRUE
életrajzot	életrajz	[/N][Acc]	4737	8570080167	71097	0.7425185002699989	1.9188663912235175	10	4	8	3	TRUE	életrajz	életrajzot	jz	j	z	o	TRUE	TRUE
