lemma	lv_word	lv_transcription	coda	linking_vowel	lv_freq	lemma_freq	neighbourhood_size	nsyl	nlv_word	nlv_transcription	nlv_freq	lv_odds	lv_log_odds	varies
vers	verset	veršet	rš	e	87593	786598	11	2	NA	NA	0	87594	11.380467781428035	FALSE
bors	borsot	boršot	rš	o	35568	318878	15	2	NA	NA	0	35569	10.479229750968448	FALSE
rajz	rajzot	rajzot	jz	o	30319	352496	4	2	NA	NA	0	30320	10.319562839756308	FALSE
sors	sorsot	šoršot	rš	o	23446	863203	11	2	NA	NA	0	23447	10.062497833920736	FALSE
törzs	törzset	töržet	rž	e	13011	274003	7	2	NA	NA	0	13012	9.473627287593242	FALSE
pajzs	pajzsot	pajžot	jž	o	7629	64579	1	2	NA	NA	0	7630	8.939843124278502	FALSE
bronz	bronzot	bronzot	nz	o	7413	89560	1	2	NA	NA	0	7414	8.911125383710678	FALSE
mars	marsot	maršot	rš	o	3236	116843	13	2	NA	NA	0	3237	8.082402253926244	FALSE
sansz	sanszot	šansot	ns	o	1292	10458	0	2	NA	NA	0	1293	7.164720378771857	FALSE
szeánsz	szeánszot	seánsot	ns	o	1262	14112	1	3	NA	NA	0	1263	7.141245122350491	FALSE
birs	birset	biršet	rš	e	789	8783	3	2	NA	NA	0	790	6.672032945461067	FALSE
őrs	őrsöt	őršöt	rš	ö	759	14102	10	2	NA	NA	0	760	6.633318433280377	FALSE
borz	borzot	borzot	rz	o	748	15543	9	2	NA	NA	0	749	6.618738983517219	FALSE
szegmens	szegmenset	segmenšet	nš	e	683	164707	0	3	NA	NA	0	684	6.52795791762255	FALSE
balansz	balanszot	balansot	ns	o	616	4818	1	3	NA	NA	0	617	6.424869023905388	FALSE
reneszánsz	reneszánszot	renesánsot	ns	o	616	137912	1	4	NA	NA	0	617	6.424869023905388	FALSE
fals	falsot	falšot	lš	o	605	16134	12	2	NA	NA	0	606	6.406879986069314	FALSE
spájz	spájzot	špájzot	jz	o	307	14198	1	2	NA	NA	0	308	5.730099782973574	FALSE
kliens	klienset	klienšet	nš	e	202	155897	0	3	NA	NA	0	203	5.313205979041787	FALSE
nüansz	nüanszot	nüansot	ns	o	151	2511	3	3	NA	NA	0	152	5.0238805208462765	FALSE
pénz	pénzet	pénzet	nz	e	136	2605825	2	2	NA	NA	0	137	4.919980925828125	FALSE
fajansz	fajanszot	fajansot	ns	o	134	2226	0	3	NA	NA	0	135	4.90527477843843	FALSE
transz	transzot	transot	ns	o	122	16280	1	2	NA	NA	0	123	4.812184355372417	FALSE
siemens	siemenset	šiemenšet	nš	e	117	44501	0	4	NA	NA	0	118	4.770684624465665	FALSE
kontinens	kontinenset	kontinenšet	nš	e	109	198435	1	4	NA	NA	0	110	4.700480365792417	FALSE
pasziánsz	pasziánszot	pasiánsot	ns	o	98	1483	0	4	NA	NA	0	99	4.59511985013459	FALSE
páciens	pácienset	pácienšet	nš	e	98	248198	0	4	NA	NA	0	99	4.59511985013459	FALSE
komponens	komponenset	komponenšet	nš	e	95	168785	1	4	NA	NA	0	96	4.564348191467836	FALSE
csimpánz	csimpánzot	čimpánzot	nz	o	81	14768	0	3	NA	NA	0	82	4.406719247264253	FALSE
hárs	hársot	háršot	rš	o	70	19071	4	2	NA	NA	0	71	4.2626798770413155	FALSE
félsz	félszet	félset	ls	e	58	6323	5	2	NA	NA	0	59	4.07753744390572	FALSE
nyárs	nyársot	ṉáršot	rš	o	45	15780	7	2	NA	NA	0	46	3.828641396489095	FALSE
referens	referenset	referenšet	nš	e	40	64846	0	4	NA	NA	0	41	3.713572066704308	FALSE
sapiens	sapienset	šapienšet	nš	e	40	13919	0	4	NA	NA	0	41	3.713572066704308	FALSE
traverz	traverzet	traverzet	rz	e	40	1380	0	3	NA	NA	0	41	3.713572066704308	FALSE
konstans	konstansot	konštanšot	nš	o	35	29624	1	3	NA	NA	0	36	3.58351893845611	FALSE
nonszensz	nonszenszet	nonsenset	ns	e	32	16551	0	3	NA	NA	0	33	3.4965075614664802	FALSE
nüánsz	nüánszot	nüánsot	ns	o	26	760	1	3	NA	NA	0	27	3.295836866004329	FALSE
vonz	vonzot	vonzot	nz	o	26	266603	3	2	NA	NA	0	27	3.295836866004329	FALSE
asszisztens	asszisztenset	assistenšet	nš	e	25	129030	1	4	NA	NA	0	26	3.258096538021482	FALSE
antioxidáns	antioxidánsot	antioxidánšot	nš	o	24	164141	1	6	NA	NA	0	25	3.2188758248682006	FALSE
incidens	incidenset	incidenšet	nš	e	23	119048	0	4	NA	NA	0	24	3.1780538303479458	FALSE
variáns	variánsot	variánšot	nš	o	17	35807	1	4	NA	NA	0	18	2.8903717578961645	FALSE
delikvens	delikvenset	delikvenšet	nš	e	16	14413	0	4	NA	NA	0	17	2.833213344056216	FALSE
társ	társot	táršot	rš	o	16	980856	9	2	NA	NA	0	17	2.833213344056216	FALSE
konferansz	konferanszot	konferansot	ns	o	14	849	0	4	NA	NA	0	15	2.70805020110221	FALSE
nörsz	nörszöt	nörsöt	rs	ö	12	162	0	2	NA	NA	0	13	2.5649493574615367	FALSE
precedens	precedenset	precedenšet	nš	e	12	16786	0	4	NA	NA	0	13	2.5649493574615367	FALSE
ágens	ágenset	ágenšet	nš	e	12	17621	0	3	NA	NA	0	13	2.5649493574615367	FALSE
torz	torzot	torzot	rz	o	11	42242	7	2	NA	NA	0	12	2.4849066497880004	FALSE
pátens	pátenset	pátenšet	nš	e	8	2649	0	3	NA	NA	0	9	2.1972245773362196	FALSE
posztamens	posztamenset	postamenšet	nš	e	7	2777	0	4	NA	NA	0	8	2.0794415416798357	FALSE
mutáns	mutánsot	mutánšot	nš	o	6	25703	0	3	NA	NA	0	7	1.9459101490553132	FALSE
régens	régenset	régenšet	nš	e	6	3461	2	3	NA	NA	0	7	1.9459101490553132	FALSE
tremens	tremenset	tremenšet	nš	e	6	1099	0	3	NA	NA	0	7	1.9459101490553132	FALSE
docens	docenset	docenšet	nš	e	4	185029	0	3	NA	NA	0	5	1.6094379124341003	FALSE
domináns	dominánsot	dominánšot	nš	o	4	88676	0	4	NA	NA	0	5	1.6094379124341003	FALSE
forsz	forszot	forsot	rs	o	4	275	1	2	NA	NA	0	5	1.6094379124341003	FALSE
fóliáns	fóliánsot	fóliánšot	nš	o	4	987	1	4	NA	NA	0	5	1.6094379124341003	FALSE
koefficiens	koefficienset	koefficienšet	nš	e	4	3396	0	6	NA	NA	0	5	1.6094379124341003	FALSE
kontingens	kontingenset	kontingenšet	nš	e	3	16396	1	4	NA	NA	0	4	1.3862943611198906	FALSE
reagens	reagenset	reagenšet	nš	e	3	7265	0	4	NA	NA	0	4	1.3862943611198906	FALSE
spejz	spejzet	špejzet	jz	e	3	3158	1	2	NA	NA	0	4	1.3862943611198906	FALSE
szimpatizáns	szimpatizánsot	simpatizánšot	nš	o	3	33396	0	5	NA	NA	0	4	1.3862943611198906	FALSE
antidepresszáns	antidepresszánsot	antidepressánšot	nš	o	2	22055	0	6	NA	NA	0	3	1.0986122886681098	FALSE
