xpostag	lemma	lv_form	lemma_ipa	lv_form_ipa	stem_final_cluster	linking_vowel	lv_freq	lemma_freq	nlv_form	nlv_form_ipa	nlv_freq	lv_odds	lv_log_odds	ultimate_c	penultimate_c	cons_1	son_1	cont_1	labial_1	coronal_1	anterior_1	dorsal_1	lateral_1	voice_1	delrel_1	seg_1	long_1	open1_1	open2_1	cons_2	son_2	cont_2	labial_2	coronal_2	anterior_2	dorsal_2	lateral_2	voice_2	delrel_2	seg_2	long_2	open1_2	open2_2	sonority_ultimate_c	sonority_penultimate_c	sonority_slope
[/N][Acc]	olaj	olajat	olaj	olajat	j	a	156573	748524	olajt	olajt	2258	69.3414526129318	4.239042889171162	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	arany	aranyat	araṉ	araṉat	ṉ	a	80282	818042	aranyt	araṉt	1603	50.08234560199626	3.9136685627955847	ṉ	NA	1	1	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	34
[/N][Acc]	vas	vasat	vaš	vašat	š	a	52672	433512	vast	vašt	558	94.39426523297492	4.5474803216554305	š	NA	1	0	1	NA	1	0	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	24
[/N][Acc]	nyár	nyarat	ṉár	ṉarat	r	a	48206	1390035	nyárt	ṉárt	377	127.86737400530504	4.850993586171324	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	színvonal	színvonalat	sínvonal	sínvonalat	l	a	43797	477040	színvonalt	sínvonalt	359	121.99721448467966	4.803998212379811	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	bors	borsot	borš	boršot	rš	o	35568	318878	borst	boršt	412	86.33009708737865	4.4581782868544515	š	r	1	0	1	NA	1	0	NA	NA	0	NA	1	NA	NA	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	2	4	424
[/N][Acc]	könyvtár	könyvtárat	köṉvtár	köṉvtárat	r	a	34764	1067536	könyvtárt	köṉvtárt	2960	11.744594594594597	2.463393100239245	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	nyugdíj	nyugdíjat	ṉugdíj	ṉugdíjat	j	a	34123	461153	nyugdíjt	ṉugdíjt	289	118.0726643598616	4.7713002345987015	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	madár	madarat	madár	madarat	r	a	33873	477836	madárt	madárt	216	156.81944444444446	5.055095108164467	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	szél	szelet	sél	selet	l	e	33549	1119765	szélt	sélt	1719	19.516579406631763	2.9712643303134487	l	NA	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	pohár	poharat	pohár	poharat	r	a	27946	350073	pohárt	pohárt	551	50.71869328493648	3.9262945464874783	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	lepel	leplet	lepel	leplet	pl	e	26867	76006	lepelt	lepelt	238	112.88655462184876	4.726383373026061	l	p	1	1	1	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	1	0	0	1	NA	NA	NA	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	olívaolaj	olívaolajat	olívaolaj	olívaolajat	j	a	26231	109393	olívaolajt	olívaolajt	296	88.61824324324324	4.484337742095317	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	torony	tornyot	toroṉ	torṉot	rṉ	o	24881	288279	toronyt	toroṉt	155	160.5225806451613	5.0784346220522005	ṉ	r	1	1	0	NA	1	0	NA	NA	1	NA	1	NA	NA	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	3	4	434
[/N][Acc]	sors	sorsot	šorš	šoršot	rš	o	23446	863203	sorst	šoršt	149	157.35570469798657	5.0585088776863145	š	r	1	0	1	NA	1	0	NA	NA	0	NA	1	NA	NA	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	2	4	424
[/N][Acc]	sár	sarat	šár	šarat	r	a	20812	132552	sárt	šárt	543	38.32780847145488	3.646175702476259	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	sátor	sátrat	šátor	šátrat	tr	a	20420	199256	sátort	šátort	2253	9.06347092765202	2.204252151286412	r	t	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	1	1	NA	NA	0	0	1	NA	NA	NA	4	1	144
[/N][Acc]	fahéj	fahéjat	fahéj	fahéjat	j	a	20352	92031	fahéjt	fahéjt	369	55.15447154471545	4.010137822099321	j	NA	1	1	1	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
[/N][Acc]	porcukor	porcukrot	porcukor	porcukrot	kr	o	19280	70318	porcukort	porcukort	125	154.24	5.038509830862235	r	k	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	1	0	0	NA	NA	NA	1	NA	0	NA	1	NA	NA	NA	4	1	144
[/N][Acc]	szén	szenet	sén	senet	n	e	16633	134519	szént	sént	159	104.61006289308176	4.650239750570304	n	NA	1	1	0	NA	1	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	34
[/N][Acc]	zár	zárat	zár	zárat	r	a	15996	1197895	zárt	zárt	2637	6.065984072810012	1.8026967836134224	r	NA	1	1	1	NA	1	1	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	44
